ngram,f,a,m,sd
repetition creates,1,1,1.0,0.0
creates a,3,3,1.0,0.0
a rhythm,1,1,1.0,0.0
rhythm and,1,1,1.0,0.0
and reinforces,1,1,1.0,0.0
reinforces certain,1,1,1.0,0.0
certain ideas,1,1,1.0,0.0
ideas or,1,1,1.0,0.0
or emotions,1,1,1.0,0.0
emotions throughout,1,1,1.0,0.0
the text,2,1,2.0,0.0
"text ,",1,1,1.0,0.0
which can,4,2,2.0,1.0
be powerful,1,1,1.0,0.0
powerful in,1,1,1.0,0.0
in poetry,1,1,1.0,0.0
poetry or,1,1,1.0,0.0
other forms,3,2,1.5,0.5
of creative,4,2,2.0,1.0
creative writing,1,1,1.0,0.0
writing where,1,1,1.0,0.0
where patterns,1,1,1.0,0.0
patterns contribute,1,1,1.0,0.0
overall effect,1,1,1.0,0.0
effect on,2,2,1.0,0.0
the reader,2,1,2.0,0.0
reader .,1,1,1.0,0.0
. -,2,1,2.0,0.0
- it,3,3,1.0,0.0
it helps,1,1,1.0,0.0
helps emphasize,1,1,1.0,0.0
emphasize key,1,1,1.0,0.0
key points,1,1,1.0,0.0
"points ,",1,1,1.0,0.0
them stand,1,1,1.0,0.0
stand out,1,1,1.0,0.0
out more,1,1,1.0,0.0
more prominently,1,1,1.0,0.0
prominently within,1,1,1.0,0.0
the narrative,3,2,1.5,0.5
narrative or,1,1,1.0,0.0
or argument,1,1,1.0,0.0
argument being,1,1,1.0,0.0
being presented,1,1,1.0,0.0
presented .,1,1,1.0,0.0
this can,1,1,1.0,0.0
can guide,1,1,1.0,0.0
guide the,1,1,1.0,0.0
reader 's,1,1,1.0,0.0
's attention,1,1,1.0,0.0
attention and,3,3,1.0,0.0
and make,1,1,1.0,0.0
make certain,1,1,1.0,0.0
certain aspects,1,1,1.0,0.0
text more,1,1,1.0,0.0
more memorable,1,1,1.0,0.0
memorable .,1,1,1.0,0.0
- in,1,1,1.0,0.0
in persuasive,1,1,1.0,0.0
persuasive or,1,1,1.0,0.0
or argumentative,1,1,1.0,0.0
argumentative texts,1,1,1.0,0.0
"texts ,",1,1,1.0,0.0
", anaphora",1,1,1.0,0.0
anaphora can,1,1,1.0,0.0
be used,9,4,2.25,2.165063509461097
used to,6,5,1.2,0.4
to build,4,3,1.3333333333333333,0.4714045207910317
build a,3,3,1.0,0.0
a sense,15,8,1.875,1.0532687216470449
of urgency,1,1,1.0,0.0
urgency or,1,1,1.0,0.0
or importance,1,1,1.0,0.0
importance around,1,1,1.0,0.0
the repeated,1,1,1.0,0.0
repeated concept,1,1,1.0,0.0
"concept ,",1,1,1.0,0.0
potentially swaying,1,1,1.0,0.0
swaying the,1,1,1.0,0.0
the audience,1,1,1.0,0.0
audience toward,1,1,1.0,0.0
toward the,2,2,1.0,0.0
the author,1,1,1.0,0.0
author 's,1,1,1.0,0.0
's viewpoint,1,1,1.0,0.0
viewpoint through,1,1,1.0,0.0
through emotional,1,1,1.0,0.0
emotional impact,1,1,1.0,0.0
impact rather,1,1,1.0,0.0
than just,9,6,1.5,0.7637626158259734
just rational,1,1,1.0,0.0
rational discourse,1,1,1.0,0.0
discourse .,1,1,1.0,0.0
is important,1,1,1.0,0.0
important for,1,1,1.0,0.0
for writers,1,1,1.0,0.0
writers to,1,1,1.0,0.0
to use,1,1,1.0,0.0
use this,1,1,1.0,0.0
this technique,1,1,1.0,0.0
technique judiciously,1,1,1.0,0.0
judiciously as,1,1,1.0,0.0
as overuse,1,1,1.0,0.0
overuse may,1,1,1.0,0.0
to monotony,1,1,1.0,0.0
monotony and,1,1,1.0,0.0
reduce its,1,1,1.0,0.0
its effectiveness,1,1,1.0,0.0
effectiveness .,1,1,1.0,0.0
the secret,2,1,2.0,0.0
secret of,1,1,1.0,0.0
of luminous,12,3,4.0,2.943920288775949
luminous lake,6,1,6.0,0.0
lake and,1,1,1.0,0.0
its mysterious,2,2,1.0,0.0
mysterious powers,1,1,1.0,0.0
powers unveiled,1,1,1.0,0.0
unveiled lake,1,1,1.0,0.0
lake aura,60,1,60.0,0.0
"aura ,",7,1,7.0,0.0
", nestled",3,3,1.0,0.0
nestled in,2,2,1.0,0.0
an enchanted,2,2,1.0,0.0
enchanted forest,1,1,1.0,0.0
"forest ,",3,2,1.5,0.5
", has",2,2,1.0,0.0
has long,2,2,1.0,0.0
long been,1,1,1.0,0.0
been shrouded,1,1,1.0,0.0
mystery .,1,1,1.0,0.0
. known,1,1,1.0,0.0
known for,3,3,1.0,0.0
"glow ,",2,2,1.0,0.0
has captivated,2,2,1.0,0.0
captivated the,1,1,1.0,0.0
the imaginations,1,1,1.0,0.0
imaginations of,1,1,1.0,0.0
of villagers,1,1,1.0,0.0
villagers living,1,1,1.0,0.0
living nearby,1,1,1.0,0.0
nearby .,1,1,1.0,0.0
. legends,1,1,1.0,0.0
legends whisper,1,1,1.0,0.0
whisper of,1,1,1.0,0.0
its magical,2,1,2.0,0.0
magical properties,2,1,2.0,0.0
how it,3,3,1.0,0.0
it can,3,2,1.5,0.5
can heal,1,1,1.0,0.0
heal any,1,1,1.0,0.0
any ailment,1,1,1.0,0.0
ailment or,1,1,1.0,0.0
or curse,1,1,1.0,0.0
curse one,1,1,1.0,0.0
one might,1,1,1.0,0.0
might face,1,1,1.0,0.0
face .,1,1,1.0,0.0
. locals,1,1,1.0,0.0
locals have,1,1,1.0,0.0
have named,1,1,1.0,0.0
named lake,1,1,1.0,0.0
aura 'luminous,1,1,1.0,0.0
'luminous ',1,1,1.0,0.0
' due,1,1,1.0,0.0
its striking,1,1,1.0,0.0
striking luminescent,1,1,1.0,0.0
luminescent quality,1,1,1.0,0.0
quality that,1,1,1.0,0.0
that illuminates,1,1,1.0,0.0
illuminates even,1,1,1.0,0.0
even in,2,2,1.0,0.0
the darkest,2,2,1.0,0.0
darkest nights,1,1,1.0,0.0
"nights ,",1,1,1.0,0.0
", leaving",2,2,1.0,0.0
leaving visitors,1,1,1.0,0.0
visitors awestruck,1,1,1.0,0.0
awestruck .,1,1,1.0,0.0
the glow,1,1,1.0,0.0
glow originates,1,1,1.0,0.0
originates from,1,1,1.0,0.0
from bioluminescent,2,2,1.0,0.0
bioluminescent algae,3,1,3.0,0.0
algae called,1,1,1.0,0.0
called photophorus,1,1,1.0,0.0
photophorus nocturna,4,1,4.0,0.0
"nocturna ,",1,1,1.0,0.0
which thrives,1,1,1.0,0.0
thrives within,3,3,1.0,0.0
within its,19,8,2.375,2.2325713874364688
its waters,2,2,1.0,0.0
waters and,2,2,1.0,0.0
and emits,1,1,1.0,0.0
emits a,1,1,1.0,0.0
a soft,7,4,1.75,0.82915619758885
soft blue,1,1,1.0,0.0
blue light,1,1,1.0,0.0
light .,3,2,1.5,0.5
this phenomenon,1,1,1.0,0.0
phenomenon has,1,1,1.0,0.0
has intrigued,1,1,1.0,0.0
intrigued scientists,1,1,1.0,0.0
scientists who,2,1,2.0,0.0
who are,3,3,1.0,0.0
are eager,4,4,1.0,0.0
to uncover,9,4,2.25,0.82915619758885
uncover the,3,2,1.5,0.5
behind lake,2,1,2.0,0.0
aura 's,35,1,35.0,0.0
radiant allure,1,1,1.0,0.0
allure .,1,1,1.0,0.0
. tales,1,1,1.0,0.0
tales of,4,4,1.0,0.0
lake date,1,1,1.0,0.0
date back,1,1,1.0,0.0
back centuries,1,1,1.0,0.0
centuries when,1,1,1.0,0.0
when ancient,2,2,1.0,0.0
ancient tribes,1,1,1.0,0.0
tribes revered,1,1,1.0,0.0
revered it,1,1,1.0,0.0
it as,2,2,1.0,0.0
as sacred,4,1,4.0,0.0
"sacred ,",1,1,1.0,0.0
", believing",1,1,1.0,0.0
believing that,1,1,1.0,0.0
that mystical,1,1,1.0,0.0
mystical beings,3,2,1.5,0.5
beings resided,1,1,1.0,0.0
resided within,1,1,1.0,0.0
its depths,2,1,2.0,0.0
depths .,3,2,1.5,0.5
they believed,1,1,1.0,0.0
believed these,2,2,1.0,0.0
these creatures,1,1,1.0,0.0
creatures possessed,1,1,1.0,0.0
possessed incredible,1,1,1.0,0.0
incredible wisdom,1,1,1.0,0.0
wisdom and,2,2,1.0,0.0
and granted,1,1,1.0,0.0
granted extraordinary,1,1,1.0,0.0
extraordinary abilities,1,1,1.0,0.0
abilities to,2,2,1.0,0.0
to those,5,4,1.25,0.4330127018922193
those deemed,1,1,1.0,0.0
deemed worthy,1,1,1.0,0.0
worthy .,1,1,1.0,0.0
. over,2,2,1.0,0.0
the legends,2,1,2.0,0.0
legends grew,1,1,1.0,0.0
grew more,1,1,1.0,0.0
more elaborate,1,1,1.0,0.0
elaborate with,1,1,1.0,0.0
with claims,1,1,1.0,0.0
claims of,1,1,1.0,0.0
miraculous healing,1,1,1.0,0.0
healing powers,1,1,1.0,0.0
powers at,1,1,1.0,0.0
at work,1,1,1.0,0.0
in lake,3,1,3.0,0.0
's waters,1,1,1.0,0.0
waters .,3,2,1.5,0.5
. desp,1,1,1.0,0.0
desp cuisine,1,1,1.0,0.0
cuisine :,1,1,1.0,0.0
: as,9,2,4.5,3.5
", stories",1,1,1.0,0.0
stories evolved,1,1,1.0,0.0
evolved that,1,1,1.0,0.0
the lake,17,1,17.0,0.0
lake could,1,1,1.0,0.0
could cleanse,1,1,1.0,0.0
cleanse any,1,1,1.0,0.0
any curse,1,1,1.0,0.0
curse or,1,1,1.0,0.0
or malady,1,1,1.0,0.0
malady if,1,1,1.0,0.0
if one,1,1,1.0,0.0
one bathed,1,1,1.0,0.0
bathed in,2,2,1.0,0.0
radiant waters,2,1,2.0,0.0
waters while,2,2,1.0,0.0
while uttering,1,1,1.0,0.0
uttering specific,1,1,1.0,0.0
specific incantations,1,1,1.0,0.0
incantations under,1,1,1.0,0.0
a full,1,1,1.0,0.0
full moon,1,1,1.0,0.0
moon .,2,2,1.0,0.0
. people,2,2,1.0,0.0
people from,4,3,1.3333333333333333,0.4714045207910317
from far,2,2,1.0,0.0
far and,1,1,1.0,0.0
and wide,1,1,1.0,0.0
wide flocked,1,1,1.0,0.0
flocked to,4,3,1.3333333333333333,0.4714045207910317
experience this,1,1,1.0,0.0
this wondrous,1,1,1.0,0.0
wondrous spectacle,1,1,1.0,0.0
spectacle firsthand,1,1,1.0,0.0
firsthand and,1,1,1.0,0.0
and seek,2,2,1.0,0.0
seek solace,1,1,1.0,0.0
solace for,1,1,1.0,0.0
their troubles,1,1,1.0,0.0
troubles .,1,1,1.0,0.0
. despite,6,5,1.2,0.4000000000000001
despite numerous,1,1,1.0,0.0
numerous attempts,1,1,1.0,0.0
"attempts ,",1,1,1.0,0.0
have yet,3,3,1.0,0.0
secret behind,1,1,1.0,0.0
's mystical,2,1,2.0,0.0
mystical glow,1,1,1.0,0.0
glow or,1,1,1.0,0.0
or its,2,2,1.0,0.0
its alleged,1,1,1.0,0.0
alleged magical,1,1,1.0,0.0
scientists surmise,1,1,1.0,0.0
surmise that,1,1,1.0,0.0
that unique,1,1,1.0,0.0
unique environmental,2,2,1.0,0.0
environmental factors,1,1,1.0,0.0
factors contribute,1,1,1.0,0.0
lake 's,17,1,17.0,0.0
's luminescence,1,1,1.0,0.0
luminescence but,1,1,1.0,0.0
but acknowledge,1,1,1.0,0.0
acknowledge they,1,1,1.0,0.0
have much,1,1,1.0,0.0
much to,2,2,1.0,0.0
to learn,5,4,1.25,0.4330127018922193
learn about,5,3,1.6666666666666667,0.9428090415820634
about this,5,4,1.25,0.4330127018922193
this captivating,3,2,1.5,0.5
captivating natural,1,1,1.0,0.0
natural wonder,2,1,2.0,0.0
wonder .,1,1,1.0,0.0
. biologists,1,1,1.0,0.0
"biologists ,",2,2,1.0,0.0
", eager",1,1,1.0,0.0
explore the,8,5,1.6,0.4898979485566356
the mysteries,6,4,1.5,0.5
mysteries of,2,1,2.0,0.0
"lake ,",2,1,2.0,0.0
", discovered",1,1,1.0,0.0
discovered numerous,1,1,1.0,0.0
numerous species,1,1,1.0,0.0
species endemic,1,1,1.0,0.0
endemic to,1,1,1.0,0.0
its ecosystem,5,2,2.5,1.5
– creatures,1,1,1.0,0.0
creatures never,1,1,1.0,0.0
never seen,1,1,1.0,0.0
seen elsewhere,1,1,1.0,0.0
elsewhere on,1,1,1.0,0.0
. among,10,6,1.6666666666666667,0.74535599249993
them are,2,2,1.0,0.0
are radiant,1,1,1.0,0.0
radiant fish,1,1,1.0,0.0
fish that,1,1,1.0,0.0
that sparkle,1,1,1.0,0.0
sparkle underwater,1,1,1.0,0.0
underwater and,2,2,1.0,0.0
and insects,2,2,1.0,0.0
insects with,3,2,1.5,0.5
with glowing,1,1,1.0,0.0
glowing antennae,1,1,1.0,0.0
antennae that,1,1,1.0,0.0
that illuminate,1,1,1.0,0.0
the forest,10,2,5.0,2.0
forest floor,4,2,2.0,1.0
floor at,1,1,1.0,0.0
at night,2,2,1.0,0.0
night .,2,2,1.0,0.0
. ecologists,1,1,1.0,0.0
ecologists have,1,1,1.0,0.0
have pointed,1,1,1.0,0.0
pointed out,1,1,1.0,0.0
out the,1,1,1.0,0.0
the importance,20,9,2.2222222222222223,1.3966450099973928
importance of,22,9,2.4444444444444446,1.4229164972072998
of preserving,6,3,2.0,0.816496580927726
preserving luminous,1,1,1.0,0.0
's fragile,5,3,1.6666666666666667,0.4714045207910317
fragile environment,2,2,1.0,0.0
environment to,1,1,1.0,0.0
maintain its,1,1,1.0,0.0
unique biodiversity,1,1,1.0,0.0
"biodiversity ,",3,2,1.5,0.5
ensuring these,1,1,1.0,0.0
these remarkable,2,2,1.0,0.0
remarkable species,1,1,1.0,0.0
species continue,1,1,1.0,0.0
thrive within,1,1,1.0,0.0
within it,1,1,1.0,0.0
it .,4,3,1.3333333333333333,0.4714045207910317
they emphasize,2,1,2.0,0.0
emphasize the,1,1,1.0,0.0
for conservation,3,1,3.0,0.0
and responsible,1,1,1.0,0.0
responsible tourism,1,1,1.0,0.0
tourism practices,1,1,1.0,0.0
practices so,1,1,1.0,0.0
so that,2,2,1.0,0.0
that future,2,2,1.0,0.0
generations may,2,2,1.0,0.0
may witness,1,1,1.0,0.0
this natural,2,2,1.0,0.0
natural marvel,1,1,1.0,0.0
marvel .,1,1,1.0,0.0
. environmentalists,2,2,1.0,0.0
environmentalists also,1,1,1.0,0.0
also stress,1,1,1.0,0.0
stress the,1,1,1.0,0.0
preserving local,3,2,1.5,0.5
local folklore,1,1,1.0,0.0
folklore surrounding,1,1,1.0,0.0
surrounding luminous,2,1,2.0,0.0
lake as,2,1,2.0,0.0
a cultural,3,3,1.0,0.0
cultural heritage,9,7,1.2857142857142858,0.45175395145262565
heritage worth,1,1,1.0,0.0
worth safeguarding,1,1,1.0,0.0
safeguarding .,1,1,1.0,0.0
they argue,1,1,1.0,0.0
argue that,1,1,1.0,0.0
these tales,1,1,1.0,0.0
tales play,1,1,1.0,0.0
play an,5,4,1.25,0.4330127018922193
integral role,8,7,1.1428571428571428,0.34992710611188266
in understanding,3,3,1.0,0.0
understanding humanity,1,1,1.0,0.0
's relationship,3,3,1.0,0.0
with nature,13,6,2.1666666666666665,2.1921577396609844
nature and,2,2,1.0,0.0
on shaping,1,1,1.0,0.0
our perceptions,1,1,1.0,0.0
and attitudes,1,1,1.0,0.0
attitudes towards,1,1,1.0,0.0
towards conservation,1,1,1.0,0.0
as more,6,4,1.5,0.8660254037844386
more people,2,1,2.0,0.0
people learn,1,1,1.0,0.0
about the,13,7,1.8571428571428572,1.1248582677159729
some have,1,1,1.0,0.0
have sought,1,1,1.0,0.0
to exploit,2,2,1.0,0.0
exploit it,1,1,1.0,0.0
it for,3,2,1.5,0.5
for profit,1,1,1.0,0.0
profit by,1,1,1.0,0.0
promoting commercial,1,1,1.0,0.0
commercial tours,1,1,1.0,0.0
tours or,1,1,1.0,0.0
or selling,1,1,1.0,0.0
selling bottled,1,1,1.0,0.0
bottled water,1,1,1.0,0.0
water claimed,1,1,1.0,0.0
claimed to,1,1,1.0,0.0
to contain,1,1,1.0,0.0
contain its,1,1,1.0,0.0
magical essence,1,1,1.0,0.0
essence .,2,2,1.0,0.0
scientists caution,1,1,1.0,0.0
caution against,1,1,1.0,0.0
against these,1,1,1.0,0.0
these ventures,1,1,1.0,0.0
ventures as,1,1,1.0,0.0
they may,1,1,1.0,0.0
may disrupt,1,1,1.0,0.0
disrupt lake,1,1,1.0,0.0
ecosystem and,1,1,1.0,0.0
and undermine,1,1,1.0,0.0
undermine ongoing,1,1,1.0,0.0
ongoing research,3,1,3.0,0.0
research efforts,2,2,1.0,0.0
efforts aimed,5,3,1.6666666666666667,0.4714045207910317
at uncovering,1,1,1.0,0.0
uncovering the,1,1,1.0,0.0
the truth,1,1,1.0,0.0
truth behind,1,1,1.0,0.0
behind its,1,1,1.0,0.0
its luminescence,1,1,1.0,0.0
luminescence .,1,1,1.0,0.0
the fervor,1,1,1.0,0.0
fervor surrounding,1,1,1.0,0.0
's mysteries,6,3,2.0,1.4142135623730951
"mysteries ,",5,3,1.6666666666666667,0.9428090415820634
a group,1,1,1.0,0.0
group of,1,1,1.0,0.0
of intrepid,1,1,1.0,0.0
intrepid explorers,4,3,1.3333333333333333,0.4714045207910317
explorers set,1,1,1.0,0.0
set out,3,2,1.5,0.5
out to,2,2,1.0,0.0
to reveal,3,3,1.0,0.0
reveal the,2,2,1.0,0.0
secrets hidden,5,3,1.6666666666666667,0.9428090415820634
hidden within,2,2,1.0,0.0
. led,1,1,1.0,0.0
led by,4,4,1.0,0.0
by renowned,4,4,1.0,0.0
renowned ecologist,1,1,1.0,0.0
ecologist dr.,1,1,1.0,0.0
dr. elara,1,1,1.0,0.0
elara moonbeam,1,1,1.0,0.0
moonbeam and,18,1,18.0,0.0
and esteemed,1,1,1.0,0.0
esteemed biologist,1,1,1.0,0.0
biologist professor,1,1,1.0,0.0
professor orion,3,1,3.0,0.0
orion starling,3,1,3.0,0.0
"starling ,",3,1,3.0,0.0
this diverse,1,1,1.0,0.0
diverse team,1,1,1.0,0.0
team is,3,2,1.5,0.5
is determined,1,1,1.0,0.0
determined to,1,1,1.0,0.0
to shed,1,1,1.0,0.0
shed light,4,3,1.3333333333333333,0.4714045207910317
light on,5,3,1.6666666666666667,0.4714045207910317
on what,1,1,1.0,0.0
what has,1,1,1.0,0.0
has remained,2,2,1.0,0.0
remained obscured,1,1,1.0,0.0
obscured for,1,1,1.0,0.0
for so,1,1,1.0,0.0
so long,1,1,1.0,0.0
long .,1,1,1.0,0.0
. their,19,9,2.111111111111111,1.1967032904743342
journey begins,1,1,1.0,0.0
begins in,1,1,1.0,0.0
a quaint,1,1,1.0,0.0
quaint village,1,1,1.0,0.0
village near,1,1,1.0,0.0
near lake,2,1,2.0,0.0
aura where,1,1,1.0,0.0
where they,4,4,1.0,0.0
they gather,1,1,1.0,0.0
gather information,1,1,1.0,0.0
information from,1,1,1.0,0.0
from locals,1,1,1.0,0.0
locals about,1,1,1.0,0.0
legends surrounding,1,1,1.0,0.0
surrounding its,1,1,1.0,0.0
its mystical,1,1,1.0,0.0
mystical powers,2,1,2.0,0.0
powers .,1,1,1.0,0.0
the villagers,1,1,1.0,0.0
villagers speak,1,1,1.0,0.0
speak of,2,2,1.0,0.0
of tales,1,1,1.0,0.0
tales passed,3,1,3.0,0.0
generations –,4,3,1.3333333333333333,0.4714045207910317
– stories,1,1,1.0,0.0
stories that,2,1,2.0,0.0
have fueled,1,1,1.0,0.0
fueled curiosity,1,1,1.0,0.0
inspired countless,1,1,1.0,0.0
countless expeditions,1,1,1.0,0.0
expeditions to,2,2,1.0,0.0
this enchanted,15,2,7.5,6.5
enchanted place,1,1,1.0,0.0
place .,3,2,1.5,0.5
their research,7,2,3.5,2.5
research equipment,1,1,1.0,0.0
"equipment ,",1,1,1.0,0.0
the team,17,3,5.666666666666667,5.9066817155564495
team ventures,1,1,1.0,0.0
ventures deep,1,1,1.0,0.0
deep into,1,1,1.0,0.0
forest surrounding,1,1,1.0,0.0
surrounding lake,1,1,1.0,0.0
aura in,2,1,2.0,0.0
of elusive,1,1,1.0,0.0
elusive species,1,1,1.0,0.0
species rumored,1,1,1.0,0.0
rumored to,1,1,1.0,0.0
to exist,1,1,1.0,0.0
exist within,1,1,1.0,0.0
its boundaries,4,2,2.0,1.0
they encounter,2,1,2.0,0.0
encounter creatures,1,1,1.0,0.0
creatures that,1,1,1.0,0.0
that seem,2,1,2.0,0.0
seem to,3,2,1.5,0.5
to defy,3,2,1.5,0.5
defy logic,1,1,1.0,0.0
logic -,1,1,1.0,0.0
- from,5,3,1.6666666666666667,0.4714045207910317
from iridescent,1,1,1.0,0.0
iridescent birds,1,1,1.0,0.0
birds whose,1,1,1.0,0.0
whose feathers,1,1,1.0,0.0
feathers shimmer,1,1,1.0,0.0
shimmer like,1,1,1.0,0.0
like opals,1,1,1.0,0.0
opals under,1,1,1.0,0.0
the moonlight,2,2,1.0,0.0
moonlight to,1,1,1.0,0.0
to insects,1,1,1.0,0.0
with transparent,1,1,1.0,0.0
transparent wings,1,1,1.0,0.0
wings that,2,2,1.0,0.0
that appear,2,2,1.0,0.0
appear as,3,2,1.5,0.5
as if,3,3,1.0,0.0
if woven,1,1,1.0,0.0
woven from,1,1,1.0,0.0
from spider,1,1,1.0,0.0
spider silk,1,1,1.0,0.0
silk .,2,2,1.0,0.0
dr. moonbeam,24,1,24.0,0.0
"moonbeam ,",2,1,2.0,0.0
an expert,1,1,1.0,0.0
expert in,1,1,1.0,0.0
in ecological,1,1,1.0,0.0
ecological systems,1,1,1.0,0.0
environmental conservation,6,3,2.0,0.816496580927726
"conservation ,",11,6,1.8333333333333333,1.2133516482134197
", focuses",1,1,1.0,0.0
focuses on,2,2,1.0,0.0
on understanding,1,1,1.0,0.0
understanding how,2,2,1.0,0.0
how lake,1,1,1.0,0.0
properties impact,1,1,1.0,0.0
impact its,1,1,1.0,0.0
its surrounding,3,2,1.5,0.5
surrounding flora,1,1,1.0,0.0
fauna .,2,2,1.0,0.0
. she,4,3,1.3333333333333333,0.4714045207910317
she suspects,1,1,1.0,0.0
suspects that,1,1,1.0,0.0
's luminescent,3,1,3.0,0.0
luminescent qualities,2,1,2.0,0.0
qualities may,1,1,1.0,0.0
be a,6,5,1.2,0.4000000000000001
result of,1,1,1.0,0.0
of symbiotic,1,1,1.0,0.0
symbiotic relationships,1,1,1.0,0.0
relationships between,4,3,1.3333333333333333,0.4714045207910317
between photophorus,2,1,2.0,0.0
nocturna algae,3,1,3.0,0.0
algae and,3,1,3.0,0.0
other endemic,1,1,1.0,0.0
endemic species,2,2,1.0,0.0
species within,2,1,2.0,0.0
ecosystem .,9,3,3.0,1.4142135623730951
. professor,1,1,1.0,0.0
professor starling,21,1,21.0,0.0
", fascinated",1,1,1.0,0.0
fascinated by,2,2,1.0,0.0
potential discovery,1,1,1.0,0.0
new life,2,2,1.0,0.0
forms in,1,1,1.0,0.0
", meticulously",1,1,1.0,0.0
meticulously documents,1,1,1.0,0.0
documents each,1,1,1.0,0.0
each creature,5,2,2.5,1.5
creature they,1,1,1.0,0.0
encounter during,1,1,1.0,0.0
during their,5,2,2.5,0.5
their expedition,1,1,1.0,0.0
expedition .,1,1,1.0,0.0
. his,1,1,1.0,0.0
his extensive,1,1,1.0,0.0
extensive knowledge,1,1,1.0,0.0
knowledge of,2,1,2.0,0.0
of bioluminescent,2,1,2.0,0.0
bioluminescent organisms,1,1,1.0,0.0
organisms proves,1,1,1.0,0.0
proves essential,1,1,1.0,0.0
essential when,1,1,1.0,0.0
when deciphering,1,1,1.0,0.0
deciphering clues,1,1,1.0,0.0
clues about,2,2,1.0,0.0
this radiant,8,3,2.6666666666666665,1.247219128924647
radiant wonder,2,1,2.0,0.0
wonder 's,1,1,1.0,0.0
's origin,1,1,1.0,0.0
origin and,2,2,1.0,0.0
and purpose,6,3,2.0,0.816496580927726
purpose within,2,2,1.0,0.0
as night,2,2,1.0,0.0
night falls,1,1,1.0,0.0
falls over,1,1,1.0,0.0
over the,10,6,1.6666666666666667,1.1055415967851332
team gathers,1,1,1.0,0.0
gathers near,1,1,1.0,0.0
aura for,1,1,1.0,0.0
a momentous,1,1,1.0,0.0
momentous occasion,1,1,1.0,0.0
occasion –,1,1,1.0,0.0
experiment designed,2,2,1.0,0.0
uncover secrets,1,1,1.0,0.0
hidden beneath,6,3,2.0,0.816496580927726
beneath its,6,3,2.0,1.4142135623730951
its luminescent,1,1,1.0,0.0
luminescent surface,2,1,2.0,0.0
surface .,9,5,1.8,1.6000000000000003
they deploy,2,1,2.0,0.0
deploy underwater,1,1,1.0,0.0
underwater drones,1,1,1.0,0.0
advanced sensors,2,1,2.0,0.0
to capture,4,2,2.0,0.0
capture data,1,1,1.0,0.0
's temperature,1,1,1.0,0.0
", salinity",1,1,1.0,0.0
salinity levels,3,1,3.0,0.0
and water,4,4,1.0,0.0
water composition,1,1,1.0,0.0
composition while,1,1,1.0,0.0
while analyzing,1,1,1.0,0.0
analyzing samples,1,1,1.0,0.0
samples of,1,1,1.0,0.0
and aquatic,2,2,1.0,0.0
aquatic organisms,1,1,1.0,0.0
organisms for,1,1,1.0,0.0
despite their,1,1,1.0,0.0
their best,1,1,1.0,0.0
best efforts,1,1,1.0,0.0
", no",1,1,1.0,0.0
no definitive,1,1,1.0,0.0
definitive answers,1,1,1.0,0.0
answers emerge,1,1,1.0,0.0
emerge from,1,1,1.0,0.0
from these,2,2,1.0,0.0
these initial,1,1,1.0,0.0
initial tests,1,1,1.0,0.0
tests .,1,1,1.0,0.0
team remains,1,1,1.0,0.0
remains undeterred,1,1,1.0,0.0
undeterred as,1,1,1.0,0.0
explore every,1,1,1.0,0.0
of lake,5,1,5.0,0.0
's enigmatic,2,2,1.0,0.0
enigmatic properties,1,1,1.0,0.0
properties while,2,1,2.0,0.0
remaining vigilant,1,1,1.0,0.0
vigilant against,1,1,1.0,0.0
against potential,3,2,1.5,0.5
potential threats,4,3,1.3333333333333333,0.4714045207910317
threats that,2,2,1.0,0.0
that may,8,7,1.1428571428571428,0.34992710611188266
may harm,1,1,1.0,0.0
harm its,1,1,1.0,0.0
its delicate,4,3,1.3333333333333333,0.4714045207910317
ecosystem or,1,1,1.0,0.0
or the,5,2,2.5,1.5
the invaluable,1,1,1.0,0.0
invaluable data,1,1,1.0,0.0
data it,1,1,1.0,0.0
could yield,2,2,1.0,0.0
yield .,1,1,1.0,0.0
and professor,18,1,18.0,0.0
starling engage,1,1,1.0,0.0
engage with,6,4,1.5,0.5
with local,7,4,1.75,0.82915619758885
local conservationists,1,1,1.0,0.0
conservationists to,1,1,1.0,0.0
establish safeguards,1,1,1.0,0.0
safeguards for,1,1,1.0,0.0
for lake,1,1,1.0,0.0
's preservation,3,3,1.0,0.0
preservation as,1,1,1.0,0.0
they learn,1,1,1.0,0.0
learn more,1,1,1.0,0.0
about its,3,3,1.0,0.0
its vital,2,2,1.0,0.0
role within,5,2,2.5,0.5
the broader,2,2,1.0,0.0
broader context,1,1,1.0,0.0
context of,2,2,1.0,0.0
's biodiversity,4,2,2.0,0.0
biodiversity hotspots,2,1,2.0,0.0
hotspots .,1,1,1.0,0.0
emphasize how,1,1,1.0,0.0
how crucial,1,1,1.0,0.0
crucial it,1,1,1.0,0.0
is to,2,1,2.0,0.0
to protect,7,5,1.4,0.8000000000000002
protect such,1,1,1.0,0.0
such unique,1,1,1.0,0.0
unique environments,2,2,1.0,0.0
environments from,1,1,1.0,0.0
from human,3,3,1.0,0.0
human exploitation,1,1,1.0,0.0
"exploitation ,",1,1,1.0,0.0
these extraordinary,3,3,1.0,0.0
extraordinary habitats,1,1,1.0,0.0
habitats remain,1,1,1.0,0.0
remain intact,1,1,1.0,0.0
intact for,1,1,1.0,0.0
to discover,2,2,1.0,0.0
discover and,1,1,1.0,0.0
and appreciate,3,2,1.5,0.5
